jour,date,rank,pool_nom,symbol,score,apr
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,13330.44,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,11997.4,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,13330.44,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12064.05,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12070.71,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12078.27,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12086.84,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12096.6,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12107.7,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12120.38,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12134.86,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12151.43,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12170.42,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12192.2,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12217.24,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12246.04,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12279.22,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12317.48,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12361.66,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12412.72,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12471.8,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12540.23,standard
2025-07-18,raydium-amm-WSOL-SOLABA,raydium-amm,27103.84,8131.15,standard
2025-07-18,raydium-amm-WSOL-RUDI,raydium-amm,19671.84,5901.55,standard
2025-07-18,raydium-amm-WSOL-VALENTINE,raydium-amm,44434.8,12619.55,standard
