[2025-05-31 17:26:03] TOP 1 | beefy | NOICE-WETH | TVL $30,528.00 | APR 138,013.21% | Score 41,403.96
[2025-05-31 17:26:03] TOP 2 | spectra-v2 | STUSD | TVL $132,448.00 | APR 54,046.60% | Score 16,213.98
[2025-05-31 17:26:03] TOP 3 | berapaw | BULLISHV2 | TVL $28,784.00 | APR 28,862.79% | Score 8,658.84
[2025-05-31 17:28:37] 📅 Nouvelle analyse lancée
[2025-05-31 17:28:37] 🔧 Profil utilisé : modéré (APR 0.3, TVL 0.2)
[2025-05-31 17:28:38] beefy | NOICE-WETH | TVL $30,528.00 | APR 138,013.21% | Score 41,403.96
[2025-05-31 17:30:48] [POOL] amnis-finance | APT | TVL $161,371,971.00 | APR 9.24% | Score 2.81
[2025-05-31 17:30:48] [POOL] morpho-blue | WBTC | TVL $161,160,707.00 | APR 0.00% | Score 0.03
[2025-05-31 17:30:48] [POOL] resolv | RLP | TVL $158,921,422.00 | APR 12.52% | Score 3.79
[2025-05-31 17:30:48] [POOL] b14g | BTC | TVL $150,022,812.00 | APR 1.16% | Score 0.38
[2025-05-31 17:30:48] [POOL] uniswap-v2 | WISE-WETH | TVL $147,004,333.00 | APR 0.08% | Score 0.05
[2025-05-31 17:30:48] [POOL] kamino-lend | CBBTC | TVL $146,595,075.00 | APR 0.00% | Score 0.03
[2025-05-31 17:30:48] [POOL] aave-v3 | TBTC | TVL $146,256,210.00 | APR 0.00% | Score 0.03
[2025-05-31 17:30:48] [POOL] compound-v3 | WSTETH | TVL $144,219,427.00 | APR 0.00% | Score 0.03
[2025-05-31 17:30:48] [POOL] compound-v3 | WSTETH | TVL $142,749,717.00 | APR 0.00% | Score 0.03
[2025-05-31 17:30:48] [POOL] fluid-lending | ETH | TVL $141,264,865.00 | APR 1.99% | Score 0.63
[2025-05-31 17:30:48] [POOL] compound-v3 | WBTC | TVL $139,918,940.00 | APR 0.00% | Score 0.03
[2025-05-31 17:30:48] [POOL] pendle | EUSDE | TVL $133,545,072.00 | APR 7.42% | Score 2.25
[2025-05-31 17:30:48] [POOL] pendle | EUSDE | TVL $133,545,072.00 | APR 2.59% | Score 0.80
[2025-05-31 17:30:48] [POOL] morpho-blue | CSUSDL | TVL $129,622,284.00 | APR 0.51% | Score 0.18
[2025-05-31 17:30:48] [POOL] aave-v3 | USDS | TVL $126,729,421.00 | APR 2.50% | Score 0.78
[2025-05-31 17:30:48] [POOL] crvusd | WBTC | TVL $126,279,376.00 | APR 0.00% | Score 0.03
[2025-05-31 17:30:48] [POOL] resolv | STUSR | TVL $124,753,158.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] benqi-lending | SAVAX | TVL $123,635,316.00 | APR 1.62% | Score 0.51
[2025-05-31 17:30:48] [POOL] compound-v2 | WETH | TVL $123,600,215.00 | APR 0.02% | Score 0.03
[2025-05-31 17:30:48] [POOL] aave-v2 | WBTC | TVL $123,463,431.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] curve-dex | ETH-STETH | TVL $122,550,216.00 | APR 1.82% | Score 0.57
[2025-05-31 17:30:48] [POOL] sparklend | LBTC | TVL $121,983,107.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] aave-v3 | WBTC | TVL $120,376,458.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] aave-v3 | PT-USDE-31JUL2025 | TVL $117,572,826.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] aave-v3 | RETH | TVL $114,835,247.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] origin-ether | OETH | TVL $114,044,248.00 | APR 2.77% | Score 0.85
[2025-05-31 17:30:48] [POOL] swell-liquid-staking | SWETH | TVL $114,033,024.00 | APR 3.56% | Score 1.09
[2025-05-31 17:30:48] [POOL] merkl | TACBTC | TVL $113,409,965.00 | APR 16.43% | Score 4.95
[2025-05-31 17:30:48] [POOL] merkl | TACLBTCV | TVL $113,306,871.00 | APR 8.21% | Score 2.49
[2025-05-31 17:30:48] [POOL] convex-finance | CVXCRV | TVL $112,907,580.00 | APR 11.95% | Score 3.61
[2025-05-31 17:30:48] [POOL] aave-v3 | RSETH | TVL $112,030,042.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] colend-protocol | SOLVBTC.M | TVL $109,285,662.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] uniswap-v3 | USDC-WETH | TVL $108,747,874.00 | APR 23.99% | Score 7.22
[2025-05-31 17:30:48] [POOL] pendle | SUSDE | TVL $105,711,237.00 | APR 8.88% | Score 2.69
[2025-05-31 17:30:48] [POOL] pendle | SUSDE | TVL $105,711,237.00 | APR 10.13% | Score 3.06
[2025-05-31 17:30:48] [POOL] sparklend | WBTC | TVL $103,953,614.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] yieldnest | YNBTCK | TVL $101,123,888.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] aave-v3 | EBTC | TVL $100,589,210.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] swell-liquid-restaking | RSWETH | TVL $100,480,453.00 | APR 3.18% | Score 0.97
[2025-05-31 17:30:48] [POOL] aave-v3 | WSTETH | TVL $100,365,756.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] aave-v3 | BTCB | TVL $99,829,131.00 | APR 0.01% | Score 0.02
[2025-05-31 17:30:48] [POOL] aave-v3 | RLUSD | TVL $98,723,921.00 | APR 0.61% | Score 0.20
[2025-05-31 17:30:48] [POOL] sparklend | WETH | TVL $98,569,672.00 | APR 1.97% | Score 0.61
[2025-05-31 17:30:48] [POOL] uniswap-v3 | HKDM-USDM | TVL $98,104,215.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] morpho-blue | ETH+ | TVL $97,925,522.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] frax | FPI-FRAX | TVL $96,710,370.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] morpho-blue | STEAKRUSD | TVL $96,256,923.00 | APR 4.21% | Score 1.28
[2025-05-31 17:30:48] [POOL] morpho-blue | WSTETH | TVL $95,460,946.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] curve-dex | REUSD-SCRVUSD | TVL $95,090,952.00 | APR 9.43% | Score 2.85
[2025-05-31 17:30:48] [POOL] pendle | SOLVBTC.BNB | TVL $92,383,477.00 | APR 2.92% | Score 0.89
[2025-05-31 17:30:48] [POOL] pendle | SOLVBTC.BNB | TVL $92,383,477.00 | APR 2.45% | Score 0.75
[2025-05-31 17:30:48] [POOL] merkl | TACUSD | TVL $91,828,476.00 | APR 27.38% | Score 8.23
[2025-05-31 17:30:48] [POOL] benqi-lending | BTC.B | TVL $91,702,606.00 | APR 1.19% | Score 0.38
[2025-05-31 17:30:48] [POOL] merkl | WSTETH-DWSTETHV3 | TVL $91,544,448.00 | APR 1.26% | Score 0.39
[2025-05-31 17:30:48] [POOL] sky-lending | WBTC | TVL $91,506,250.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] helius-staked-sol | HSOL | TVL $91,460,574.00 | APR 7.82% | Score 2.37
[2025-05-31 17:30:48] [POOL] gmx-v1 | GMX | TVL $91,338,082.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] glif | IFIL | TVL $89,436,127.00 | APR 10.01% | Score 3.02
[2025-05-31 17:30:48] [POOL] merkl | PUFETH | TVL $89,354,737.00 | APR 0.29% | Score 0.10
[2025-05-31 17:30:48] [POOL] uniswap-v3 | WBTC-WETH | TVL $88,071,822.00 | APR 17.13% | Score 5.16
[2025-05-31 17:30:48] [POOL] crypto.com-staked-eth | CDCETH | TVL $87,556,219.00 | APR 2.60% | Score 0.80
[2025-05-31 17:30:48] [POOL] uniswap-v3 | WBTC-USDC | TVL $87,372,572.00 | APR 22.73% | Score 6.84
[2025-05-31 17:30:48] [POOL] gmx-v2-perps | WBTC.B-USDC | TVL $86,686,724.00 | APR 17.05% | Score 5.13
[2025-05-31 17:30:48] [POOL] merkl | TACETH | TVL $86,238,547.00 | APR 19.16% | Score 5.77
[2025-05-31 17:30:48] [POOL] morpho-blue | MCWETH | TVL $85,749,506.00 | APR 3.68% | Score 1.12
[2025-05-31 17:30:48] [POOL] morpho-blue | REUSDC | TVL $84,181,190.00 | APR 6.52% | Score 1.97
[2025-05-31 17:30:48] [POOL] echelon-market | SBTC | TVL $83,584,400.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] aave-v3 | SAVAX | TVL $83,544,920.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] aave-v3 | WETH | TVL $82,567,408.00 | APR 1.46% | Score 0.45
[2025-05-31 17:30:48] [POOL] morpho-blue | WBTC | TVL $81,537,147.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] sdai | SDAI | TVL $81,239,286.00 | APR 5.49% | Score 1.66
[2025-05-31 17:30:48] [POOL] berapaw | SNECT | TVL $81,153,750.00 | APR 12.55% | Score 3.78
[2025-05-31 17:30:48] [POOL] venus-core-pool | USDC | TVL $80,752,187.00 | APR 1.15% | Score 0.36
[2025-05-31 17:30:48] [POOL] venomstake | VENOM | TVL $80,175,105.00 | APR 10.38% | Score 3.13
[2025-05-31 17:30:48] [POOL] morpho-blue | BBQUSDC | TVL $80,020,230.00 | APR 6.47% | Score 1.96
[2025-05-31 17:30:48] [POOL] morpho-blue | SYRUPUSDC | TVL $79,958,885.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] curve-dex | USD0-USD0++ | TVL $79,296,542.00 | APR 0.92% | Score 0.29
[2025-05-31 17:30:48] [POOL] vvs-standard | VVS-WCRO | TVL $78,954,662.00 | APR 3.50% | Score 1.07
[2025-05-31 17:30:48] [POOL] kamino-lend | VSOL | TVL $78,063,775.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] beraborrow | BB.SNECT | TVL $77,357,510.00 | APR 11.50% | Score 3.47
[2025-05-31 17:30:48] [POOL] compound-v3 | WSTETH | TVL $75,331,242.00 | APR 0.00% | Score 0.02
[2025-05-31 17:30:48] [POOL] navi-lending | HAEDALSUI | TVL $75,088,864.00 | APR 0.02% | Score 0.02
[2025-05-31 17:30:48] [POOL] kamino-lend | SOL | TVL $73,839,607.00 | APR 6.02% | Score 1.82
[2025-05-31 17:30:48] [POOL] sky-lending | WSTETH | TVL $73,563,694.00 | APR 0.00% | Score 0.01
[2025-05-31 17:30:48] [POOL] venus-core-pool | SOLVBTC | TVL $72,681,917.00 | APR 0.00% | Score 0.01
[2025-05-31 17:30:48] [POOL] dinero-(pxeth) | APXETH | TVL $71,676,368.00 | APR 4.41% | Score 1.34
[2025-05-31 17:30:48] [POOL] kamino-lend | MSOL | TVL $71,657,484.00 | APR 0.00% | Score 0.01
[2025-05-31 17:30:48] [POOL] frax | SFRAX | TVL $70,196,925.00 | APR 4.60% | Score 1.39
[2025-05-31 17:30:48] [POOL] morpho-blue | WSTETH | TVL $69,058,989.00 | APR 0.00% | Score 0.01
[2025-05-31 17:30:48] [POOL] upshift | AGETH | TVL $68,871,417.00 | APR 0.01% | Score 0.02
[2025-05-31 17:30:48] [POOL] pendle | UNIBTC | TVL $68,352,132.00 | APR 1.37% | Score 0.42
[2025-05-31 17:30:48] [POOL] pendle | UNIBTC | TVL $68,352,132.00 | APR 1.17% | Score 0.37
[2025-05-31 17:30:48] [POOL] justlend | USDT | TVL $68,090,419.00 | APR 2.02% | Score 0.62
[2025-05-31 17:30:48] [POOL] curve-dex | FRAX-USDE | TVL $67,919,595.00 | APR 3.07% | Score 0.93
[2025-05-31 17:30:48] [POOL] kava-mint | WBTC | TVL $67,905,500.00 | APR 0.00% | Score 0.01
[2025-05-31 17:30:48] [POOL] convex-finance | FRAX-USDE | TVL $67,612,547.00 | APR 4.33% | Score 1.31
[2025-05-31 17:30:48] [POOL] berapaw | KODISUSDA-USDA | TVL $67,422,200.00 | APR 2.61% | Score 0.80
[2025-05-31 17:30:48] [POOL] morpho-blue | GTUSDCCORE | TVL $67,231,827.00 | APR 6.28% | Score 1.90
[2025-05-31 17:30:48] [POOL] compound-v3 | USDC | TVL $67,062,069.00 | APR 3.32% | Score 1.01
[2025-05-31 17:30:48] [POOL] thorchain | BTC-RUNE | TVL $66,849,752.00 | APR 5.55% | Score 1.68
[2025-05-31 17:30:48] [POOL] raydium-amm | USDC-ΑΙ16Ζ | TVL $66,710,628.00 | APR 0.01% | Score 0.02
[2025-05-31 17:30:48] [POOL] berapaw | WBTC-SOLVBTC-XSOLVBTC | TVL $66,137,064.00 | APR 0.00% | Score 0.01
[2025-05-31 17:30:48] [POOL] pendle | SUSDA | TVL $66,082,696.00 | APR 5.87% | Score 1.78
[2025-05-31 17:30:48] [POOL] pendle | SUSDA | TVL $66,082,696.00 | APR 6.97% | Score 2.10
[2025-05-31 17:30:48] [POOL] merkl | ETH-USDC | TVL $64,100,193.00 | APR 0.00% | Score 0.01
[2025-05-31 17:30:48] [POOL] aave-v3 | WBNB | TVL $63,760,215.00 | APR 0.17% | Score 0.06
[2025-05-31 17:30:48] [POOL] stake.link-liquid | STLINK | TVL $62,843,249.00 | APR 5.30% | Score 1.60
[2025-05-31 17:30:48] [POOL] morpho-blue | RLP | TVL $62,728,811.00 | APR 0.00% | Score 0.01
[2025-05-31 17:30:48] [POOL] morpho-blue | SRUSD | TVL $62,058,531.00 | APR 0.00% | Score 0.01
[2025-05-31 17:30:48] [POOL] aave-v2 | WETH | TVL $61,415,655.00 | APR 0.07% | Score 0.03
[2025-05-31 17:30:48] [POOL] convex-finance | ETH-STETH | TVL $61,007,995.00 | APR 2.60% | Score 0.79
[2025-05-31 17:30:48] [POOL] uniswap-v3 | WETH-USDT | TVL $60,652,293.00 | APR 45.49% | Score 13.66
[2025-05-31 17:30:48] [POOL] uniswap-v3 | WBTC-CBBTC | TVL $60,254,840.00 | APR 1.15% | Score 0.36
[2025-05-31 17:30:48] [POOL] moonwell-lending | CBBTC | TVL $60,019,044.00 | APR 0.41% | Score 0.13
[2025-05-31 17:30:48] [POOL] convex-finance | REUSD-SCRVUSD | TVL $59,840,040.00 | APR 14.52% | Score 4.37
[2025-05-31 17:30:48] [POOL] morpho-blue | PT-SUSDE-31JUL2025 | TVL $59,733,401.00 | APR 0.00% | Score 0.01
[2025-05-31 17:30:48] [POOL] navi-lending | SUI | TVL $59,193,428.00 | APR 3.27% | Score 0.99
[2025-05-31 17:30:48] [POOL] stusdt | STUSDT | TVL $58,762,094.00 | APR 3.86% | Score 1.17
[2025-05-31 17:30:48] [POOL] morpho-blue | STEAKUSDT | TVL $58,048,922.00 | APR 4.80% | Score 1.45
[2025-05-31 17:30:48] [POOL] sparklend | WEETH | TVL $57,786,277.00 | APR 0.00% | Score 0.01
[2025-05-31 17:30:48] [POOL] aries-markets | STAPT | TVL $57,679,181.00 | APR 0.00% | Score 0.01
[2025-05-31 17:30:48] [POOL] uniswap-v3 | USDC-WETH | TVL $57,666,205.00 | APR 48.98% | Score 14.70
[2025-05-31 17:30:48] [POOL] sky-lending | G-UNI | TVL $57,545,118.00 | APR 0.00% | Score 0.01
[2025-05-31 17:30:48] [POOL] arrakis-v1 | DAI-USDC | TVL $57,545,014.00 | APR 0.06% | Score 0.03
[2025-05-31 17:30:48] [POOL] merkl | USDC-ETH | TVL $57,525,714.00 | APR 15.96% | Score 4.80
