datetime,cycle,pool,score,decision
2025-03-30 14:05:51,7,DAI/MATIC,0.285,NE PAS investir
2025-03-30 14:15:51,8,USDC/ETH,0.9,INVESTIR
2025-03-30 14:15:51,8,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 14:15:51,8,DAI/MATIC,0.285,NE PAS investir
2025-03-30 14:25:51,9,USDC/ETH,0.9,INVESTIR
2025-03-30 14:25:51,9,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 14:25:51,9,DAI/MATIC,0.285,NE PAS investir
2025-03-30 14:35:51,10,USDC/ETH,0.9,INVESTIR
2025-03-30 14:35:51,10,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 14:35:51,10,DAI/MATIC,0.285,NE PAS investir
2025-03-30 14:45:51,11,USDC/ETH,0.9,INVESTIR
2025-03-30 14:45:51,11,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 14:45:51,11,DAI/MATIC,0.285,NE PAS investir
2025-03-30 14:55:51,12,USDC/ETH,0.9,INVESTIR
2025-03-30 14:55:51,12,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 14:55:51,12,DAI/MATIC,0.285,NE PAS investir
2025-03-30 15:05:51,13,USDC/ETH,0.9,INVESTIR
2025-03-30 15:05:51,13,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 15:05:51,13,DAI/MATIC,0.285,NE PAS investir
2025-03-30 15:15:51,14,USDC/ETH,0.9,INVESTIR
2025-03-30 15:15:51,14,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 15:15:51,14,DAI/MATIC,0.285,NE PAS investir
2025-03-30 15:25:51,15,USDC/ETH,0.9,INVESTIR
2025-03-30 15:25:51,15,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 15:25:51,15,DAI/MATIC,0.285,NE PAS investir
2025-03-30 15:35:51,16,USDC/ETH,0.9,INVESTIR
2025-03-30 15:35:51,16,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 15:35:51,16,DAI/MATIC,0.285,NE PAS investir
2025-03-30 15:45:51,17,USDC/ETH,0.9,INVESTIR
2025-03-30 15:45:51,17,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 15:45:51,17,DAI/MATIC,0.285,NE PAS investir
2025-03-30 15:55:51,18,USDC/ETH,0.9,INVESTIR
2025-03-30 15:55:51,18,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 15:55:51,18,DAI/MATIC,0.285,NE PAS investir
2025-03-30 16:05:51,19,USDC/ETH,0.9,INVESTIR
2025-03-30 16:05:51,19,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 16:05:51,19,DAI/MATIC,0.285,NE PAS investir
2025-03-30 16:15:51,20,USDC/ETH,0.9,INVESTIR
2025-03-30 16:15:51,20,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 16:15:51,20,DAI/MATIC,0.285,NE PAS investir
2025-03-30 16:25:51,21,USDC/ETH,0.9,INVESTIR
2025-03-30 16:25:51,21,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 16:25:51,21,DAI/MATIC,0.285,NE PAS investir
2025-03-30 16:35:51,22,USDC/ETH,0.9,INVESTIR
2025-03-30 16:35:51,22,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 16:35:51,22,DAI/MATIC,0.285,NE PAS investir
2025-03-30 16:45:51,23,USDC/ETH,0.9,INVESTIR
2025-03-30 16:45:51,23,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 16:45:51,23,DAI/MATIC,0.285,NE PAS investir
2025-03-30 16:55:52,24,USDC/ETH,0.9,INVESTIR
2025-03-30 16:55:52,24,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 16:55:52,24,DAI/MATIC,0.285,NE PAS investir
2025-03-30 17:05:52,25,USDC/ETH,0.9,INVESTIR
2025-03-30 17:05:52,25,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 17:05:52,25,DAI/MATIC,0.285,NE PAS investir
2025-03-30 17:15:52,26,USDC/ETH,0.9,INVESTIR
2025-03-30 17:15:52,26,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 17:15:52,26,DAI/MATIC,0.285,NE PAS investir
2025-03-30 17:20:59,1,USDC/ETH,0.9,INVESTIR
2025-03-30 17:20:59,1,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 17:20:59,1,DAI/MATIC,0.285,NE PAS investir
2025-03-30 17:23:58,1,USDC/ETH,0.9,INVESTIR
2025-03-30 17:23:58,1,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 17:23:58,1,DAI/MATIC,0.285,NE PAS investir
2025-03-30 17:25:52,27,USDC/ETH,0.9,INVESTIR
2025-03-30 17:25:52,27,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 17:25:52,27,DAI/MATIC,0.285,NE PAS investir
2025-03-30 17:33:58,2,USDC/ETH,0.9,INVESTIR
2025-03-30 17:33:58,2,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 17:33:58,2,DAI/MATIC,0.285,NE PAS investir
2025-03-30 17:35:52,28,USDC/ETH,0.9,INVESTIR
2025-03-30 17:35:52,28,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 17:35:52,28,DAI/MATIC,0.285,NE PAS investir
2025-03-30 17:40:49,1,USDC/ETH,0.95,INVESTIR
2025-03-30 17:45:52,29,USDC/ETH,0.9,INVESTIR
2025-03-30 17:45:52,29,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 17:45:52,29,DAI/MATIC,0.285,NE PAS investir
2025-03-30 17:50:49,2,USDC/ETH,0.95,INVESTIR
2025-03-30 17:55:16,1,USDC/ETH,0.95,INVESTIR
2025-03-30 17:55:52,30,USDC/ETH,0.9,INVESTIR
2025-03-30 17:55:52,30,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 17:55:52,30,DAI/MATIC,0.285,NE PAS investir
2025-03-30 17:59:03,1,USDC/ETH,0.95,INVESTIR
2025-03-30 18:05:52,31,USDC/ETH,0.9,INVESTIR
2025-03-30 18:05:52,31,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 18:05:52,31,DAI/MATIC,0.285,NE PAS investir
2025-03-30 18:15:52,32,USDC/ETH,0.9,INVESTIR
2025-03-30 18:15:52,32,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 18:15:52,32,DAI/MATIC,0.285,NE PAS investir
2025-03-30 18:25:52,33,USDC/ETH,0.9,INVESTIR
2025-03-30 18:25:52,33,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 18:25:52,33,DAI/MATIC,0.285,NE PAS investir
2025-03-30 18:33:40,1,USDC/ETH,0.95,INVESTIR
2025-03-30 18:35:52,34,USDC/ETH,0.9,INVESTIR
2025-03-30 18:35:52,34,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 18:35:52,34,DAI/MATIC,0.285,NE PAS investir
2025-03-30 18:43:40,2,USDC/ETH,0.95,INVESTIR
2025-03-30 18:44:27,1,USDC/ETH,0.95,INVESTIR
2025-03-30 18:45:52,35,USDC/ETH,0.9,INVESTIR
2025-03-30 18:45:52,35,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 18:45:52,35,DAI/MATIC,0.285,NE PAS investir
2025-03-30 18:47:48,1,USDC/ETH,0.95,INVESTIR
2025-03-30 18:49:55,1,USDC/ETH,0.95,INVESTIR
2025-03-30 18:55:52,36,USDC/ETH,0.9,INVESTIR
2025-03-30 18:55:52,36,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 18:55:52,36,DAI/MATIC,0.285,NE PAS investir
2025-03-30 18:59:55,2,USDC/ETH,0.95,INVESTIR
2025-03-30 19:05:52,37,USDC/ETH,0.9,INVESTIR
2025-03-30 19:05:52,37,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 19:05:52,37,DAI/MATIC,0.285,NE PAS investir
2025-03-30 19:09:55,3,USDC/ETH,0.95,INVESTIR
2025-03-30 19:19:55,4,USDC/ETH,0.95,INVESTIR
2025-03-30 19:29:55,5,USDC/ETH,0.95,INVESTIR
2025-03-30 19:39:55,6,USDC/ETH,0.95,INVESTIR
2025-03-30 19:49:55,7,USDC/ETH,0.95,INVESTIR
2025-03-30 19:59:55,8,USDC/ETH,0.95,INVESTIR
2025-03-30 20:09:55,9,USDC/ETH,0.95,INVESTIR
2025-03-30 20:19:55,10,USDC/ETH,0.95,INVESTIR
2025-03-30 20:29:55,11,USDC/ETH,0.95,INVESTIR
2025-03-30 20:39:55,12,USDC/ETH,0.95,INVESTIR
2025-03-30 20:49:57,13,USDC/ETH,0.95,INVESTIR
2025-03-30 20:59:57,14,USDC/ETH,0.95,INVESTIR
2025-03-30 21:09:57,15,USDC/ETH,0.95,INVESTIR
2025-03-30 21:19:57,16,USDC/ETH,0.95,INVESTIR
2025-03-30 21:29:57,17,USDC/ETH,0.95,INVESTIR
2025-03-30 21:39:57,18,USDC/ETH,0.95,INVESTIR
2025-03-30 21:49:57,19,USDC/ETH,0.95,INVESTIR
2025-03-30 21:59:57,20,USDC/ETH,0.95,INVESTIR
2025-03-30 22:09:57,21,USDC/ETH,0.95,INVESTIR
2025-03-30 22:19:57,22,USDC/ETH,0.95,INVESTIR
2025-03-30 22:29:57,23,USDC/ETH,0.95,INVESTIR
2025-03-30 22:39:57,24,USDC/ETH,0.95,INVESTIR
2025-03-30 22:49:57,25,USDC/ETH,0.95,INVESTIR
2025-03-30 22:59:57,26,USDC/ETH,0.95,INVESTIR
2025-03-30 23:09:58,27,USDC/ETH,0.95,INVESTIR
2025-03-30 23:19:58,28,USDC/ETH,0.95,INVESTIR
2025-03-30 23:29:58,29,USDC/ETH,0.95,INVESTIR
2025-03-30 23:39:58,30,USDC/ETH,0.95,INVESTIR
2025-03-30 23:49:58,31,USDC/ETH,0.95,INVESTIR
2025-03-30 23:59:58,32,USDC/ETH,0.95,INVESTIR
